时间点,VPRB1
0,-92.94956
1,0.52940404
2,0.7562948
3,0.52940404
4,0.52940404
5,0.52940404
6,0.52940404
7,0.52940404
8,0.52940404
9,0.52940404
10,0.52940404
11,0.52940404
12,0.7562948
13,0.52940404
14,0.30251336
15,0.52940404
16,0.52940404
17,0.7562948
18,0.52940404
19,0.52940404
20,0.7562948
21,0.52940404
22,0.52940404
23,0.52940404
24,0.7562948
25,0.52940404
26,0.52940404
27,0.52940404
28,0.52940404
29,0.7562948
30,0.52940404
31,0.7562948
32,0.7562948
33,0.7562948
34,0.7562948
35,0.7562948
36,0.7562948
37,0.7562948
38,0.7562948
39,0.7562948
40,0.7562948
41,0.98318547
42,0.98318547
43,0.98318547
44,0.7562948
45,0.7562948
46,0.7562948
47,0.7562948
48,0.7562948
49,0.7562948
50,0.7562948
51,0.7562948
52,0.98318547
53,0.7562948
54,0.7562948
55,0.7562948
56,0.98318547
57,0.98318547
58,1.2100762
59,0.98318547
60,1.2100762
61,1.2100762
62,1.2100762
63,1.2100762
64,1.4369669
65,1.4369669
66,1.4369669
67,1.6638576
68,1.6638576
69,1.4369669
70,1.4369669
71,1.6638576
72,1.6638576
73,1.6638576
74,1.6638576
75,1.6638576
76,1.6638576
77,1.6638576
78,1.6638576
79,1.6638576
80,1.6638576
81,1.6638576
82,1.6638576
83,1.6638576
84,1.6638576
85,1.8907483
86,1.8907483
87,1.8907483
88,1.6638576
89,1.8907483
90,1.8907483
91,1.6638576
92,1.8907483
93,1.8907483
94,1.8907483
95,1.8907483
96,1.8907483
97,1.6638576
98,1.8907483
99,1.8907483
100,1.8907483
101,1.6638576
102,1.8907483
103,1.8907483
104,1.8907483
105,1.8907483
106,1.8907483
107,1.6638576
108,1.8907483
109,1.8907483
110,1.8907483
111,1.8907483
112,1.8907483
113,1.8907483
114,1.8907483
115,1.8907483
116,1.8907483
117,1.8907483
118,1.8907483
119,1.8907483
120,1.8907483
121,1.8907483
122,1.8907483
123,1.8907483
124,1.8907483
125,2.117639
126,1.8907483
127,1.8907483
128,1.8907483
129,1.8907483
130,1.8907483
131,1.8907483
132,1.8907483
133,2.117639
134,1.8907483
135,1.8907483
136,1.8907483
137,1.8907483
138,1.8907483
139,1.8907483
140,1.8907483
141,1.8907483
142,2.117639
143,1.8907483
144,1.8907483
145,1.8907483
146,1.8907483
147,1.8907483
148,1.8907483
149,1.8907483
150,1.8907483
151,1.8907483
152,1.8907483
153,2.117639
154,1.8907483
155,2.117639
156,1.8907483
157,2.117639
158,1.8907483
159,2.117639
160,2.117639
161,1.8907483
162,1.8907483
163,2.117639
164,2.117639
165,2.117639
166,1.8907483
167,2.117639
168,1.8907483
169,1.8907483
170,1.8907483
171,1.8907483
172,1.8907483
173,1.8907483
174,2.117639
175,1.8907483
176,2.117639
177,2.117639
178,1.8907483
179,2.117639
180,1.8907483
181,1.8907483
182,1.8907483
183,1.8907483
184,1.8907483
185,1.8907483
186,2.117639
187,1.8907483
188,1.8907483
189,2.117639
190,1.8907483
191,1.8907483
192,1.8907483
193,1.8907483
194,1.8907483
195,1.8907483
196,1.8907483
197,2.117639
198,1.8907483
199,1.8907483
200,1.8907483
201,1.8907483
202,1.8907483
203,1.8907483
204,1.8907483
205,1.8907483
206,2.117639
207,1.8907483
208,1.8907483
209,1.8907483
210,1.8907483
211,1.6638576
212,1.8907483
213,1.8907483
214,1.8907483
215,1.8907483
216,1.8907483
217,1.8907483
218,1.8907483
219,1.8907483
220,1.8907483
221,1.8907483
222,1.8907483
223,1.8907483
224,1.8907483
225,1.6638576
226,1.8907483
227,1.6638576
228,1.8907483
229,1.6638576
230,1.6638576
231,1.8907483
232,1.6638576
233,1.6638576
234,1.6638576
235,1.6638576
236,1.6638576
237,1.6638576
238,1.6638576
239,1.8907483
240,1.6638576
241,1.6638576
242,1.6638576
243,1.6638576
244,1.8907483
245,1.6638576
246,1.6638576
247,1.6638576
248,1.6638576
249,1.6638576
250,1.6638576
251,1.6638576
252,1.6638576
253,1.6638576
254,1.6638576
255,1.6638576
256,1.6638576
257,1.6638576
258,1.2100762
259,1.2100762
260,0.98318547
261,1.2100762
262,0.98318547
263,0.98318547
264,0.98318547
265,0.7562948
266,0.98318547
267,0.7562948
268,0.7562948
269,0.7562948
270,0.7562948
271,0.7562948
272,0.52940404
273,0.7562948
274,0.7562948
275,0.52940404
276,0.7562948
277,0.52940404
278,0.52940404
279,0.7562948
280,0.7562948
281,0.7562948
282,0.7562948
283,0.7562948
284,0.52940404
285,0.7562948
286,0.7562948
287,0.7562948
288,0.7562948
289,0.7562948
290,0.52940404
291,0.7562948
292,0.52940404
293,0.7562948
294,0.7562948
295,0.7562948
296,0.7562948
297,0.7562948
298,0.7562948
299,0.7562948
300,0.7562948
301,0.7562948
302,0.7562948
303,0.52940404
304,0.52940404
305,0.52940404
306,0.52940404
307,0.7562948
308,0.7562948
309,0.52940404
310,0.7562948
311,0.52940404
312,0.52940404
313,0.7562948
314,0.7562948
315,0.7562948
316,0.7562948
317,0.52940404
318,0.52940404
319,0.7562948
320,0.52940404
321,0.7562948
322,0.52940404
323,0.52940404
324,0.52940404
325,0.52940404
326,0.30251336
327,0.30251336
