时间点,PRESS
0,1.050664
1,2.159468
2,3.106312
3,3.907808
4,4.572259
5,5.103821
6,5.527409
7,5.863788
8,6.137874
9,6.270764
10,6.270764
11,6.266612
12,6.266612
13,6.262459
14,6.266612
15,6.266612
16,6.270764
17,6.266612
18,6.266612
19,6.266612
20,6.266612
21,6.266612
22,6.266612
23,6.262459
24,6.266612
25,6.270764
26,6.266612
27,6.266612
28,6.270764
29,6.270764
30,6.266612
31,6.266612
32,6.266612
33,6.266612
34,6.266612
35,6.266612
36,6.270764
37,6.266612
38,6.266612
39,6.266612
40,6.270764
41,6.270764
42,6.266612
43,6.270764
44,6.270764
45,6.270764
46,6.270764
47,6.270764
48,6.270764
49,6.266612
50,6.266612
51,6.270764
52,6.266612
53,6.270764
54,6.262459
55,6.266612
56,6.270764
57,6.266612
58,6.270764
59,6.266612
60,6.270764
61,6.266612
62,6.266612
63,6.266612
64,6.270764
65,6.262459
66,6.266612
67,6.266612
68,6.266612
69,6.262459
70,6.266612
71,6.262459
72,6.266612
73,6.266612
74,6.270764
75,6.266612
76,6.262459
77,6.270764
78,6.266612
79,6.266612
80,6.266612
81,6.266612
82,6.266612
83,6.266612
84,6.266612
85,6.262459
86,6.266612
87,6.266612
88,6.266612
89,6.266612
90,6.266612
91,6.270764
92,6.266612
93,6.262459
94,6.266612
95,6.266612
96,6.266612
97,6.262459
98,6.266612
99,6.262459
100,6.270764
101,6.270764
102,6.266612
103,6.266612
104,6.262459
105,6.262459
106,6.262459
107,6.270764
108,6.262459
109,6.262459
110,6.266612
111,6.266612
112,6.262459
113,6.262459
114,6.262459
115,6.266612
116,6.266612
117,6.266612
118,6.266612
119,6.266612
120,6.270764
121,6.266612
122,6.262459
123,6.266612
124,6.266612
125,6.262459
126,6.266612
127,6.266612
128,6.266612
129,6.266612
130,6.266612
131,6.266612
132,6.262459
133,6.266612
134,6.262459
135,6.270764
136,6.262459
137,6.266612
138,6.262459
139,6.262459
140,6.266612
141,6.270764
142,6.266612
143,6.266612
144,6.266612
145,6.266612
146,6.266612
147,6.266612
148,6.270764
149,6.266612
150,6.266612
151,6.266612
152,6.266612
153,6.266612
154,6.266612
155,6.266612
156,6.266612
157,6.266612
158,6.270764
159,6.266612
160,6.266612
161,6.266612
162,6.266612
163,6.266612
164,6.270764
165,6.270764
166,6.262459
167,6.266612
168,6.262459
169,6.266612
170,6.262459
171,6.266612
172,6.266612
173,6.270764
174,6.270764
175,6.266612
176,6.266612
177,6.266612
178,6.266612
179,6.266612
180,6.266612
181,6.266612
182,6.266612
183,6.270764
184,6.270764
185,6.266612
186,6.262459
187,6.266612
188,6.266612
189,6.270764
190,6.270764
191,6.270764
192,6.266612
193,6.266612
194,6.270764
195,6.266612
196,6.266612
197,6.270764
198,6.270764
199,6.266612
200,6.266612
201,6.266612
202,6.266612
203,6.266612
204,6.266612
205,6.266612
206,6.266612
207,6.266612
208,6.270764
209,6.266612
210,6.270764
211,6.262459
212,6.262459
213,6.266612
214,6.266612
215,6.266612
216,6.266612
217,6.266612
218,6.266612
219,6.266612
220,6.266612
221,6.266612
222,6.266612
223,6.266612
224,6.262459
225,6.266612
226,6.266612
227,6.266612
228,6.266612
229,6.266612
230,6.266612
231,6.266612
232,6.266612
233,6.266612
234,6.262459
235,6.266612
236,6.266612
237,6.270764
238,6.266612
239,6.270764
240,6.262459
241,6.266612
242,6.262459
243,6.266612
244,6.266612
245,6.266612
246,6.266612
247,6.262459
248,6.266612
249,6.266612
250,6.254153
251,6.254153
252,6.254153
253,6.254153
254,6.254153
255,6.25
256,6.254153
257,6.254153
258,6.150332
259,6.133721
260,6.266612
261,6.266612
262,6.266612
263,6.266612
264,6.270764
265,6.262459
266,6.266612
267,6.266612
268,6.266612
269,6.270764
270,6.270764
271,6.270764
272,6.270764
273,6.266612
274,6.270764
275,6.266612
276,6.266612
277,6.266612
278,6.266612
279,6.266612
280,6.266612
281,6.270764
282,6.266612
283,6.266612
284,6.266612
285,6.266612
286,6.270764
287,6.266612
288,6.270764
289,6.266612
290,6.266612
291,6.266612
292,6.266612
293,6.266612
294,6.266612
295,6.266612
296,6.262459
297,6.270764
298,6.266612
299,6.266612
300,6.266612
301,6.266612
302,6.262459
303,6.266612
304,6.266612
305,6.262459
306,6.266612
307,6.266612
308,6.266612
309,6.270764
310,6.262459
311,6.262459
312,6.266612
313,6.266612
314,6.266612
315,6.266612
316,6.266612
317,5.411129
318,4.327242
319,3.434386
320,2.699336
321,2.084718
322,1.578073
323,1.166944
324,0.826412
325,0.5606312
326,0.3571429
327,0.211794
