时间点,PTC23,PTC24
0,23.201393,23.301435
1,23.601566,23.801653
2,24.00174,24.201826
3,24.501957,24.702044
4,25.102219,25.202261
5,25.70248,25.802523
6,26.30274,26.502827
7,26.903002,27.103088
8,27.603306,27.703348
9,28.30361,28.503696
10,29.204002,29.404089
11,30.304482,30.504566
12,31.605045,31.70509
13,32.905613,33.105698
14,34.406265,34.60635
15,35.906918,36.107002
16,37.607655,37.7077
17,39.308395,39.508484
18,41.20922,41.309265
19,43.11005,43.21009
20,45.010876,45.21096
21,47.011745,47.11179
22,49.012615,49.2127
23,51.11353,51.313614
24,53.214443,53.414528
25,55.415398,55.51544
26,57.7164,57.7164
27,59.817314,59.917355
28,62.118313,62.218357
29,64.41931,64.519356
30,66.720314,66.720314
31,69.02132,69.12136
32,71.422356,71.422356
33,73.72336,73.72336
34,76.124405,76.124405
35,78.525444,78.525444
36,80.92649,80.92649
37,83.42758,83.32754
38,85.82862,85.82862
39,88.32971,88.22967
40,90.830795,90.73075
41,93.33189,93.23184
42,95.83297,95.83297
43,98.434105,98.33406
44,100.93519,100.835144
45,103.43628,103.336235
46,105.93737,105.837326
47,108.5385,108.33841
48,111.03959,110.939545
49,113.54067,113.44063
50,116.1418,116.04176
51,118.64289,118.54285
52,121.24402,121.143974
53,123.84515,123.645065
54,126.34624,126.24619
55,128.94737,128.74728
56,131.54851,131.34842
57,134.14963,133.94954
58,136.65073,136.45064
59,139.25185,139.05176
60,141.95303,141.6529
61,144.55415,144.35406
62,147.15529,146.85516
63,149.75642,149.45628
64,152.35754,152.05742
65,154.95868,154.65855
66,157.35973,157.0596
67,159.66072,159.3606
68,161.66159,161.36147
69,163.46237,163.16225
70,165.16312,164.86299
71,166.66377,166.36365
72,168.06438,167.76425
73,169.26491,169.06482
74,170.46542,170.26534
75,171.46587,171.26578
76,172.36626,172.16617
77,173.26665,173.06656
78,174.06699,173.8669
79,174.76729,174.5672
80,175.36755,175.26752
81,175.96782,175.86777
82,176.368,176.26794
83,176.86821,176.76816
84,177.26839,177.16833
85,177.56851,177.56851
86,177.96869,177.96869
87,178.26881,178.26881
88,178.4689,178.4689
89,178.76903,178.76903
90,178.86908,178.96912
91,179.06917,179.1692
92,179.26926,179.26926
93,179.3693,179.46935
94,179.46935,179.56938
95,179.56938,179.66942
96,179.66943,179.76947
97,179.76947,179.8695
98,179.8695,179.96956
99,179.96956,179.96956
100,179.96956,180.0696
101,180.0696,180.16965
102,180.0696,180.16965
103,180.0696,180.16965
104,180.0696,180.16965
105,180.16965,180.26968
106,180.16965,180.26968
107,180.26968,180.36974
108,180.26968,180.36974
109,180.26968,180.36974
110,180.26968,180.36974
111,180.16965,180.26968
112,180.16965,180.26968
113,180.26968,180.36974
114,180.26968,180.36974
115,180.26968,180.36974
116,180.26968,180.36974
117,180.26968,180.36974
118,180.16965,180.26968
119,180.16965,180.36974
120,180.16965,180.36974
121,180.16965,180.36974
122,180.16965,180.36974
123,180.16965,180.36974
124,180.16965,180.26968
125,180.16965,180.26968
126,180.16965,180.26968
127,180.16965,180.26968
128,180.16965,180.26968
129,180.16965,180.26968
130,180.16965,180.26968
131,180.16965,180.26968
132,180.16965,180.26968
133,180.16965,180.26968
134,180.16965,180.26968
135,180.16965,180.26968
136,180.16965,180.26968
137,180.0696,180.16965
138,180.0696,180.26968
139,180.0696,180.26968
140,180.0696,180.26968
141,180.0696,180.26968
142,180.0696,180.26968
143,180.0696,180.16965
144,180.0696,180.16965
145,180.0696,180.26968
146,180.0696,180.26968
147,180.0696,180.26968
148,180.0696,180.26968
149,180.0696,180.16965
150,179.96956,180.16965
151,180.0696,180.16965
152,180.0696,180.16965
153,179.96956,180.16965
154,180.0696,180.16965
155,179.96956,180.16965
156,179.96956,180.0696
157,179.96956,180.16965
158,179.96956,180.16965
159,180.0696,180.16965
160,180.0696,180.16965
161,180.0696,180.16965
162,179.96956,180.16965
163,180.0696,180.16965
164,180.0696,180.16965
165,180.0696,180.16965
166,180.0696,180.16965
167,180.0696,180.16965
168,179.96956,180.0696
169,179.96956,180.16965
170,179.96956,180.16965
171,179.96956,180.16965
172,179.96956,180.16965
173,179.96956,180.16965
174,179.96956,180.0696
175,179.96956,180.0696
176,179.96956,180.0696
177,179.96956,180.0696
178,179.96956,180.0696
179,179.96956,180.0696
180,179.96956,180.0696
181,179.96956,180.0696
182,179.96956,180.0696
183,179.96956,180.0696
184,179.96956,180.16965
185,179.96956,180.0696
186,179.8695,179.96956
187,179.96956,180.0696
188,179.96956,180.0696
189,179.96956,180.0696
190,179.96956,180.0696
191,179.96956,180.0696
192,179.96956,180.0696
193,179.96956,180.0696
194,179.96956,180.0696
195,179.96956,180.0696
196,179.96956,180.0696
197,179.96956,180.0696
198,179.8695,180.0696
199,179.8695,180.0696
200,179.66943,179.8695
201,179.56938,179.76947
202,179.46935,179.56938
203,179.26926,179.46935
204,179.06917,179.26926
205,178.96912,179.06917
206,178.76903,178.96912
207,178.56895,178.76903
208,178.4689,178.56895
209,178.26881,178.36887
210,178.06873,178.16878
211,177.86864,177.96869
212,177.66856,177.86864
213,177.46848,177.66855
214,177.26839,177.46848
215,177.0683,177.26839
216,176.86821,176.96825
217,176.66812,176.76816
218,176.46803,176.66812
219,176.26794,176.46803
220,176.06786,176.26794
221,175.86777,176.06786
222,175.56764,175.76773
223,175.4676,175.56764
224,175.26752,175.36755
225,175.06743,175.26752
226,174.86734,175.06743
227,174.66725,174.86734
228,174.46716,174.5672
229,174.26707,174.36713
230,174.06699,174.26707
231,173.8669,174.06699
232,173.66681,173.8669
233,173.56677,173.66681
234,173.26665,173.36668
235,173.06656,173.26665
236,172.9665,173.06656
237,172.76642,172.86647
238,172.56635,172.76642
239,172.36626,172.56633
240,172.16617,172.2662
241,171.96608,172.16617
242,171.76599,171.96608
243,171.66594,171.76599
244,171.46587,171.5659
