DataTime,PTC24,PTC23,PTC21,PTC14,VPRB7,PRESS
2025/8/19 5:14:58.000,27.99652,28.09648,27.9,27.6,-96.39883,-2.501158
2025/8/19 5:15:56.000,28.39635,28.49631,28.1,27.9,-96.24341,50.57896
2025/8/19 5:16:56.000,28.49631,28.69622,28.2,28,-96.39883,104.7707
2025/8/19 5:17:56.000,28.79618,28.89613,28.4,28.1,1.832734,158.6846
2025/8/19 5:18:56.000,28.79618,28.99609,28.5,28.3,1.832734,212.8763
2025/8/19 5:19:56.000,29.09604,29.196,28.7,28.4,1.832734,266.7901
2025/8/19 5:20:56.000,29.29596,29.49587,28.9,28.6,1.988163,320.4261
2025/8/19 5:21:56.000,29.49587,29.69578,29.1,28.9,1.832734,373.7841
2025/8/19 5:22:56.000,29.8957,30.09561,29.3,29,1.832734,426.8642
2025/8/19 5:23:56.000,30.19557,30.29552,29.6,29.4,1.988163,478.8327
2025/8/19 5:24:56.000,30.49544,30.69535,30,29.8,1.832734,530.8012
2025/8/19 5:25:56.000,30.89526,30.99522,30.4,30.3,1.832734,581.936
2025/8/19 5:26:56.000,30.99522,31.19513,30.6,30.5,1.832734,631.9592
2025/8/19 5:27:56.000,31.29509,31.495,30.7,30.5,1.832734,630.5696
2025/8/19 5:28:56.000,31.59496,31.79487,30.9,30.8,1.988163,630.5696
2025/8/19 5:29:56.000,32.49457,32.69448,31.4,31.2,1.988163,630.0138
2025/8/19 5:30:56.000,32.69448,32.89439,31.7,31.5,1.832734,630.0138
2025/8/19 5:31:56.000,33.19426,33.39418,32.1,32,1.988163,629.7359
2025/8/19 5:32:56.000,33.59409,33.794,32.4,32.3,1.832734,630.0138
2025/8/19 5:33:56.000,34.69361,34.89352,33.3,33.3,1.832734,629.7359
2025/8/19 5:34:56.000,34.59365,34.89352,33.8,33.7,1.832734,630.0138
2025/8/19 5:35:56.000,35.39331,35.59322,34.1,34.1,1.988163,630.0138
2025/8/19 5:36:56.000,36.49283,36.69274,34.8,34.9,1.832734,630.0138
2025/8/19 5:37:56.000,36.7927,37.19252,35.3,35.2,1.988163,630.2917
2025/8/19 5:38:56.000,37.89222,38.09213,36.3,36.1,1.832734,630.0138
2025/8/19 5:39:56.000,38.09213,38.49196,36.8,37,1.832734,630.0138
2025/8/19 5:40:56.000,39.19165,39.59148,37.3,37.2,1.832734,630.2917
2025/8/19 5:41:56.000,40.09126,40.39113,38.3,38.2,1.988163,630.0138
2025/8/19 5:42:57.000,41.29074,41.69057,39.1,39,1.988163,630.2917
2025/8/19 5:43:58.000,41.89048,42.29031,39.6,39.7,1.988163,630.0138
2025/8/19 5:44:56.000,43.18991,43.48979,41.1,40.9,1.988163,630.2917
2025/8/19 5:45:56.000,44.08952,44.3894,41.6,41.5,1.988163,629.7359
2025/8/19 5:46:56.000,44.58931,44.88918,42.2,42.4,1.988163,629.7359
2025/8/19 5:47:56.000,46.28857,46.48848,43.9,43.6,1.988163,629.7359
2025/8/19 5:48:56.000,46.28857,46.48848,44.5,44.6,1.988163,630.2917
2025/8/19 5:49:56.000,48.18774,48.48761,45.2,45.1,1.988163,629.7359
2025/8/19 5:50:56.000,48.9874,49.28727,46.4,46.4,1.988163,630.2917
2025/8/19 5:51:56.000,50.08692,50.48674,47.8,47.5,1.988163,630.2917
2025/8/19 5:52:56.000,50.38679,50.78661,48.3,48.2,2.143593,630.2917
2025/8/19 5:53:56.000,52.186,52.38592,49.9,49.6,1.988163,629.7359
2025/8/19 5:54:56.000,53.88527,54.28509,51,50.7,1.832734,630.2917
2025/8/19 5:55:56.000,54.98479,55.28466,52.1,51.8,1.988163,630.0138
2025/8/19 5:56:56.000,55.78444,56.08431,53,52.8,1.988163,630.0138
2025/8/19 5:57:56.000,57.28379,57.68362,54.2,53.9,1.988163,629.7359
2025/8/19 5:58:56.000,58.1834,58.58323,55.3,55.1,1.988163,629.7359
2025/8/19 5:59:56.000,59.48283,59.58279,56.6,56.4,1.988163,629.7359
2025/8/19 6:00:56.000,60.4824,60.98218,58.1,57.6,1.988163,629.7359
2025/8/19 6:01:56.000,61.18209,61.48196,58.9,58.8,2.143593,629.7359
2025/8/19 6:02:56.000,62.48153,62.7814,60,59.7,1.988163,629.7359
2025/8/19 6:03:56.000,64.78053,65.0804,61,60.9,1.988163,630.2917
2025/8/19 6:04:56.000,65.18036,65.38027,61.9,61.9,1.988163,630.0138
2025/8/19 6:05:56.000,66.97958,67.27944,63.6,63.3,1.988163,630.0138
2025/8/19 6:06:56.000,67.77923,68.17905,64.1,64.3,1.988163,630.2917
2025/8/19 6:07:56.000,68.47892,68.77879,65.6,65.3,1.988163,630.0138
2025/8/19 6:08:56.000,69.47849,69.87831,66.3,66.5,1.988163,630.5696
2025/8/19 6:09:56.000,71.77749,71.9774,68.4,68,1.988163,629.7359
2025/8/19 6:10:56.000,72.87701,73.27683,69.2,69.1,1.988163,630.2917
2025/8/19 6:11:56.000,74.67622,75.07605,70.4,70.3,1.988163,630.2917
2025/8/19 6:12:56.000,75.77575,75.97566,71.8,71.7,1.988163,630.0138
2025/8/19 6:13:56.000,76.5754,76.87527,73,72.8,1.988163,630.2917
2025/8/19 6:14:56.000,78.17471,78.47458,74.4,74,1.988163,630.2917
2025/8/19 6:15:56.000,79.37418,79.67406,75.1,74.8,1.988163,629.7359
2025/8/19 6:16:56.000,80.77357,81.07345,76.3,76.5,1.988163,629.7359
2025/8/19 6:17:56.000,81.77314,81.97305,78,77.7,1.988163,630.0138
