DataTime,PTC9,PTC2,PTC7,PTC8,PTC18,PTC10,PRESS
2025/8/21 14:05:56.000,26.4,26.2,25.6,26,26.8,26.9,17.5081
2025/8/21 14:06:56.000,26.5,26.3,25.6,26,26.7,26.9,75.86845
2025/8/21 14:07:56.000,26.7,26.4,25.6,26,26.7,26.9,133.673
2025/8/21 14:08:56.000,26.9,26.7,25.6,26.1,26.7,26.9,191.4775
2025/8/21 14:09:56.000,27.2,27,25.6,26.1,26.7,26.9,249.2821
2025/8/21 14:10:56.000,27.6,27.3,25.6,26.1,26.7,26.9,307.0866
2025/8/21 14:11:56.000,28,27.7,25.7,26.2,26.8,26.9,364.6132
2025/8/21 14:12:56.000,28.4,28.2,25.7,26.2,26.8,27,421.8619
2025/8/21 14:13:56.000,28.8,28.6,25.8,26.2,26.8,27,478.2769
2025/8/21 14:14:56.000,29.3,29,25.8,26.3,26.9,27,534.1361
2025/8/21 14:15:56.000,29.7,29.5,25.9,26.4,26.9,27.1,589.4395
2025/8/21 14:16:56.000,30.1,29.9,25.9,26.4,26.9,27.1,634.4603
2025/8/21 14:17:56.000,30.6,30.4,26,26.5,27,27.2,630.0138
2025/8/21 14:18:56.000,31,30.8,26.1,26.6,27,27.2,629.458
2025/8/21 14:19:56.000,31.3,31.1,26.2,26.7,27.1,27.2,631.1254
2025/8/21 14:20:56.000,31.7,31.5,26.2,26.7,27.1,27.3,629.7359
2025/8/21 14:21:56.000,32,31.8,26.3,26.8,27.2,27.3,629.7359
2025/8/21 14:22:56.000,32.2,32,26.4,26.9,27.2,27.4,630.0138
2025/8/21 14:23:56.000,32.5,32.3,26.5,27,27.3,27.5,630.5696
2025/8/21 14:24:56.000,32.8,32.6,26.6,27.1,27.4,27.5,630.0138
2025/8/21 14:25:56.000,33,32.8,26.6,27.2,27.5,27.6,629.7359
2025/8/21 14:26:56.000,33.3,33.1,26.8,27.3,27.5,27.6,630.0138
2025/8/21 14:27:56.000,33.7,33.4,26.9,27.3,27.6,27.7,630.0138
2025/8/21 14:28:56.000,34,33.8,27,27.4,27.7,27.8,630.0138
2025/8/21 14:29:56.000,34.4,34.2,27.1,27.6,27.8,27.9,630.0138
2025/8/21 14:30:56.000,34.8,34.6,27.2,27.7,27.8,27.9,630.2917
2025/8/21 14:31:56.000,35.3,35.1,27.3,27.8,27.9,28,630.0138
2025/8/21 14:32:56.000,35.9,35.7,27.5,27.9,28,28.1,629.7359
2025/8/21 14:33:56.000,36.6,36.3,27.6,28.1,28.1,28.2,629.7359
2025/8/21 14:34:56.000,37.3,37.1,27.8,28.2,28.2,28.3,630.2917
2025/8/21 14:35:56.000,38,37.8,27.9,28.4,28.4,28.5,629.7359
2025/8/21 14:36:56.000,38.9,38.6,28.1,28.6,28.5,28.6,629.7359
2025/8/21 14:37:56.000,39.7,39.4,28.3,28.7,28.6,28.7,630.2917
2025/8/21 14:38:56.000,40.5,40.3,28.5,28.9,28.8,28.8,630.0138
2025/8/21 14:39:56.000,41.4,41.2,28.7,29.2,28.9,29,630.0138
2025/8/21 14:40:56.000,42.3,42.1,28.9,29.4,29.1,29.1,630.2917
2025/8/21 14:41:56.000,43.2,43,29.1,29.6,29.3,29.3,629.1801
2025/8/21 14:42:56.000,44,43.8,29.4,29.8,29.5,29.5,630.8475
2025/8/21 14:43:56.000,44.8,44.6,29.6,30.1,29.7,29.7,630.0138
2025/8/21 14:44:56.000,45.5,45.3,29.9,30.4,29.9,29.9,629.1801
2025/8/21 14:45:56.000,46.2,46,30.1,30.6,30.1,30.1,630.5696
2025/8/21 14:46:56.000,46.7,46.6,30.4,30.9,30.3,30.3,631.1254
2025/8/21 14:47:56.000,47.2,47.1,30.6,31.1,30.6,30.5,630.2917
2025/8/21 14:48:56.000,47.7,47.5,30.9,31.4,30.8,30.7,629.7359
2025/8/21 14:49:56.000,48.2,48,31.1,31.6,31,30.9,629.7359
2025/8/21 14:50:57.000,48.9,48.7,31.4,31.9,31.2,31.1,630.2917
