名称,基准,类型,保存值
圆1,NA,Circle,"1.47895,129.992,0.000151746,0.0003592,0.000392844,1,6"
圆2,NA,Circle,"-3.63798e-12,-1.7053e-13,0,0.0003592,0.000392844,1,6"
圆3,NA,Circle,"1593.75,35.7375,-0.000816271,0.0003592,0.000392844,1,6"
圆4,NA,Circle,"3884.88,15.8101,-0.000633462,0.0003592,0.000392844,1,6"
圆5,NA,Circle,"5521.6,-0.00266219,-0.000741963,0.0003592,0.000392844,1,6"
圆2-面2距离,NA,Distance,NA
点3,NA,Point,"44.677,205.025,1.108,0.028,0.994,-0.109"
点4,NA,Point,"50.720,212.900,78.161,0.028,0.995,-0.098"
点5,NA,Point,"94.188,207.232,34.561,0.028,0.994,-0.104"
点6,NA,Point,"133.342,210.195,74.265,0.028,0.995,-0.098"
点7,NA,Point,"158.986,200.156,-14.192,0.028,0.994,-0.110"
点8,NA,Point,"202.425,207.385,65.598,0.028,0.995,-0.100"
点9,NA,Point,"205.365,198.710,-22.792,0.002,0.995,-0.097"
点10,NA,Point,"251.614,204.879,44.386,0.003,0.996,-0.088"
点11,NA,Point,"293.166,198.508,-22.498,0.011,0.995,-0.102"
点12,NA,Point,"308.344,204.084,37.131,0.003,0.996,-0.090"
点13,NA,Point,"360.477,196.778,-22.025,0.027,0.994,-0.109"
点14,NA,Point,"364.138,202.767,34.772,0.027,0.994,-0.104"
点15,NA,Point,"451.220,194.469,-20.549,0.027,0.994,-0.109"
点16,NA,Point,"454.638,200.648,38.349,0.027,0.994,-0.102"
点17,NA,Point,"506.556,195.942,7.024,0.027,0.994,-0.105"
点18,NA,Point,"562.281,191.660,-18.701,0.027,0.994,-0.107"
点19,NA,Point,"562.757,197.557,37.104,0.027,0.994,-0.103"
点20,NA,Point,"669.770,188.709,-19.212,0.027,0.994,-0.106"
点21,NA,Point,"666.079,194.458,34.282,0.027,0.994,-0.102"
点22,NA,Point,"720.185,190.168,7.152,0.027,0.994,-0.104"
点23,NA,Point,"773.072,185.721,-21.348,0.027,0.994,-0.106"
点24,NA,Point,"769.864,191.976,37.409,0.027,0.994,-0.102"
点25,NA,Point,"866.669,183.165,-21.996,0.026,0.994,-0.106"
点26,NA,Point,"864.101,189.235,35.369,0.027,0.994,-0.102"
点27,NA,Point,"915.802,184.793,5.785,0.027,0.994,-0.104"
点28,NA,Point,"960.217,180.836,-20.634,0.026,0.994,-0.105"
点29,NA,Point,"958.246,186.923,37.333,0.026,0.994,-0.102"
点30,NA,Point,"1041.870,178.024,-26.902,0.026,0.994,-0.106"
点31,NA,Point,"1038.006,184.522,34.546,0.026,0.994,-0.101"
点32,NA,Point,"1121.786,174.942,-36.336,0.026,0.994,-0.105"
点33,NA,Point,"1117.907,178.848,-0.120,0.026,0.994,-0.104"
点34,NA,Point,"1112.228,182.731,36.217,0.026,0.995,-0.101"
点35,NA,Point,"1208.011,174.317,-21.007,0.026,0.994,-0.104"
点36,NA,Point,"1199.483,180.583,37.631,0.026,0.995,-0.101"
点37,NA,Point,"1286.244,172.187,-22.002,0.026,0.994,-0.103"
